"pseudo_id","Date","Total.ST.min","Social.ST.min","Pickups","is_weekday","Daily_Prop_Social_ST","Daily_Duration_Per_Use","Treatment","workmate","X2: academic talk","non-academic","pets","sex","age","cousre credit","country degree","job","siblings","apps","devices","procrastination score","team","BMI","compliance","is_intervention"
6419,2024-02-07,308,83,86,1,0.269480519480519,3.58139534883721,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-08,317,60,90,1,0.189274447949527,3.52222222222222,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-09,294,140,162,1,0.476190476190476,1.81481481481481,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-10,385,79,60,1,0.205194805194805,6.41666666666667,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-11,232,40,75,0,0.172413793103448,3.09333333333333,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-12,327,108,82,0,0.330275229357798,3.98780487804878,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-13,273,67,111,1,0.245421245421245,2.45945945945946,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-14,345,209,101,1,0.605797101449275,3.41584158415842,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-15,321,213,78,1,0.663551401869159,4.11538461538461,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-16,456,304,97,1,0.666666666666667,4.70103092783505,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-17,373,239,58,1,0.640750670241287,6.43103448275862,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-18,234,124,96,0,0.52991452991453,2.4375,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-19,377,277,69,0,0.73474801061008,5.46376811594203,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-20,482,321,67,1,0.66597510373444,7.19402985074627,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-21,371,198,121,1,0.533692722371968,3.06611570247934,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-22,324,165,101,1,0.509259259259259,3.20792079207921,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-23,378,269,98,1,0.711640211640212,3.85714285714286,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-24,462,213,87,1,0.461038961038961,5.31034482758621,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-25,235,128,118,0,0.54468085106383,1.99152542372881,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-26,309,218,124,0,0.705501618122977,2.49193548387097,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-27,443,267,107,1,0.602708803611738,4.14018691588785,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-28,287,178,90,1,0.620209059233449,3.18888888888889,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-02-29,342,205,89,1,0.599415204678363,3.84269662921348,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
6419,2024-03-01,290,201,87,1,0.693103448275862,3.33333333333333,"A",0,1,NA,"0","0",22,15,1,0,0,5,3,37,NA,NA,NA,0
